cd_nuts3,cd_nuts2,cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version,cd_nuts_lau,cd_nuts1,cd_nuts0,cd_nuts3_2027,cd_nuts2_2027,cd_nuts1_2027,cd_nuts0_2027,cd_arr_internal
BE100,BE10,21019,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,21000,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel Hoofdstad,21,20000,,,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,21019,BE1,BE,BE100,BE10,BE1,BE,21
BE211,BE21,11001,Aartselaar,Aartselaar,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11001,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11002,Anvers,Antwerpen,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11002,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11004,Boechout,Boechout,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11004,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11005,Boom,Boom,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11005,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11007,Borsbeek,Borsbeek,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11007,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11008,Brasschaat,Brasschaat,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11008,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11009,Brecht,Brecht,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11009,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11013,Edegem,Edegem,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11013,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11016,Essen,Essen,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11016,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11018,Hemiksem,Hemiksem,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11018,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11021,Hove,Hove,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11021,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11022,Kalmthout,Kalmthout,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11022,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11023,Kapellen,Kapellen,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11023,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11024,Kontich,Kontich,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11024,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11025,Lint,Lint,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11025,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11029,Mortsel,Mortsel,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11029,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11030,Niel,Niel,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11030,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11035,Ranst,Ranst,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11035,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11037,Rumst,Rumst,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11037,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11038,Schelle,Schelle,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11038,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11039,Schilde,Schilde,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11039,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11040,Schoten,Schoten,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11040,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11044,Stabroek,Stabroek,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11044,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11050,Wijnegem,Wijnegem,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11050,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11052,Wommelgem,Wommelgem,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11052,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11053,Wuustwezel,Wuustwezel,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11053,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11054,Zandhoven,Zandhoven,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11054,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11055,Zoersel,Zoersel,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11055,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11056,Zwijndrecht,Zwijndrecht,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11056,BE2,BE,BE261,BE26,BE2,BE,11
BE211,BE21,11057,Malle,Malle,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,11,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,11057,BE2,BE,BE261,BE26,BE2,BE,11
BE212,BE21,12002,Berlaar,Berlaar,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12002,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12005,Bonheiden,Bonheiden,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12005,BE2,BE,BE262,BE26,BE2,BE,12
