cd_postal,cd_commune_nis,tx_postal_name_fr,tx_postal_name_nl
2240,11054,Zandhoven,Zandhoven
2242,11054,Zandhoven,Zandhoven
2243,11054,Zandhoven,Zandhoven
2250,13029,Olen,Olen
2260,13049,Westerlo,Westerlo
2270,13012,Herenthout,Herenthout
2275,13019,Lille,Lille
2280,13010,Grobbendonk,Grobbendonk
2288,13010,Grobbendonk,Grobbendonk
2290,13044,Vorselaar,Vorselaar
2300,13040,Turnhout,Turnhout
2310,13037,Rijkevorsel,Rijkevorsel
2320,13014,Hoogstraten,Hoogstraten
2321,13014,Hoogstraten,Hoogstraten
2322,13014,Hoogstraten,Hoogstraten
2323,13014,Hoogstraten,Hoogstraten
2328,13014,Hoogstraten,Hoogstraten
2330,13023,Merksplas,Merksplas
2340,13004,Beerse,Beerse
2350,13046,Vosselaar,Vosselaar
2360,13031,Oud-Turnhout,Oud-Turnhout
2370,13001,Arendonk,Arendonk
2380,13035,Ravels,Ravels
2381,13035,Ravels,Ravels
2382,13035,Ravels,Ravels
2387,13002,Baerle-Duc,Baarle-Hertog
2390,11057,Malle,Malle
2400,13025,Mol,Mol
2430,13053,Laakdal,Laakdal
2431,13053,Laakdal,Laakdal
2440,13008,Geel,Geel
2450,13021,Meerhout,Meerhout
2460,13017,Kasterlee,Kasterlee
2470,13036,Retie,Retie
2480,13006,Dessel,Dessel
2490,13003,Balen,Balen
2491,13003,Balen,Balen
2500,12021,Lierre,Lier
2520,11035,Ranst,Ranst
2530,11004,Boechout,Boechout
2531,11004,Boechout,Boechout
2540,11021,Hove,Hove
2547,11025,Lint,Lint
2550,11024,Kontich,Kontich
2560,12026,Nijlen,Nijlen
2570,12009,Duffel,Duffel
2580,12029,Putte,Putte
2590,12002,Berlaar,Berlaar
2600,11002,Anvers,Antwerpen
2610,11002,Anvers,Antwerpen
2620,11018,Hemiksem,Hemiksem
2627,11038,Schelle,Schelle
2630,11001,Aartselaar,Aartselaar
2640,11029,Mortsel,Mortsel
2650,11013,Edegem,Edegem
2660,11002,Anvers,Antwerpen
2800,12025,Malines,Mechelen
2801,12025,Malines,Mechelen
2811,12025,Malines,Mechelen
2812,12025,Malines,Mechelen
2820,12005,Bonheiden,Bonheiden
2830,12040,Willebroek,Willebroek
2840,11037,Rumst,Rumst
2845,11030,Niel,Niel
2850,11005,Boom,Boom
2860,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver
2861,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver
2870,12041,Puurs-Sint-Amands,Puurs-Sint-Amands
2880,12007,Bornem,Bornem
2890,12041,Puurs-Sint-Amands,Puurs-Sint-Amands
2900,11040,Schoten,Schoten
2910,11016,Essen,Essen
2920,11022,Kalmthout,Kalmthout
2930,11008,Brasschaat,Brasschaat
2940,11044,Stabroek,Stabroek
2950,11023,Kapellen,Kapellen
2960,11009,Brecht,Brecht
2970,11039,Schilde,Schilde
2980,11055,Zoersel,Zoersel
2990,11053,Wuustwezel,Wuustwezel
3000,24062,Louvain,Leuven
3001,24062,Louvain,Leuven
3010,24062,Louvain,Leuven
3012,24062,Louvain,Leuven
3018,24062,Louvain,Leuven
3020,24038,Herent,Herent
3040,24045,Huldenberg,Huldenberg
3050,24086,Oud-Heverlee,Oud-Heverlee
3051,24086,Oud-Heverlee,Oud-Heverlee
3052,24086,Oud-Heverlee,Oud-Heverlee
3053,24086,Oud-Heverlee,Oud-Heverlee
3054,24086,Oud-Heverlee,Oud-Heverlee
3060,24009,Bertem,Bertem
3061,24009,Bertem,Bertem
3070,24055,Kortenberg,Kortenberg
3071,24055,Kortenberg,Kortenberg
3078,24055,Kortenberg,Kortenberg
3080,24104,Tervuren,Tervuren
3090,23062,Overijse,Overijse
3110,24094,Rotselaar,Rotselaar
3111,24094,Rotselaar,Rotselaar
3118,24094,Rotselaar,Rotselaar
3120,24109,Tremelo,Tremelo
3128,24109,Tremelo,Tremelo
3130,24007,Begijnendijk,Begijnendijk
3140,24048,Keerbergen,Keerbergen
3150,24033,Haacht,Haacht
3190,24014,Boortmeerbeek,Boortmeerbeek
3191,24014,Boortmeerbeek,Boortmeerbeek
3200,24001,Aarschot,Aarschot
3201,24001,Aarschot,Aarschot
3202,24001,Aarschot,Aarschot
3210,24066,Lubbeek,Lubbeek
3211,24066,Lubbeek,Lubbeek
3212,24066,Lubbeek,Lubbeek
3220,24043,Holsbeek,Holsbeek
3221,24043,Holsbeek,Holsbeek
3270,24134,Montaigu-Zichem,Scherpenheuvel-Zichem
3271,24134,Montaigu-Zichem,Scherpenheuvel-Zichem
3272,24134,Montaigu-Zichem,Scherpenheuvel-Zichem
3290,24020,Diest,Diest
3293,24020,Diest,Diest
3294,24020,Diest,Diest
3300,24107,Tirlemont,Tienen
3320,24041,Hoegaarden,Hoegaarden
3321,24041,Hoegaarden,Hoegaarden
3350,24133,Linter,Linter
3360,24011,Bierbeek,Bierbeek
3370,24016,Boutersem,Boutersem
3380,24137,Glabbeek,Glabbeek
3381,24137,Glabbeek,Glabbeek
3384,24137,Glabbeek,Glabbeek
3390,24135,Tielt-Winge,Tielt-Winge
3391,24135,Tielt-Winge,Tielt-Winge
3400,24059,Landen,Landen
3401,24059,Landen,Landen
3404,24059,Landen,Landen
3440,24130,Léau,Zoutleeuw
3450,24028,Geetbets,Geetbets
3454,24028,Geetbets,Geetbets
3460,24008,Bekkevoort,Bekkevoort
3461,24008,Bekkevoort,Bekkevoort
3470,24054,Kortenaken,Kortenaken
3471,24054,Kortenaken,Kortenaken
3472,24054,Kortenaken,Kortenaken
3473,24054,Kortenaken,Kortenaken
3500,71072,Hasselt,Hasselt
3501,71072,Hasselt,Hasselt
3510,71072,Hasselt,Hasselt
3511,71072,Hasselt,Hasselt
3512,71072,Hasselt,Hasselt
3520,71066,Zonhoven,Zonhoven
3530,72039,Houthalen-Helchteren,Houthalen-Helchteren
3540,71024,Herck-la-Ville,Herk-de-Stad
3545,71020,Halen,Halen
3550,71070,Heusden-Zolder,Heusden-Zolder
3560,71037,Lummen,Lummen
3570,73001,Alken,Alken
3580,71004,Beringen,Beringen
3581,71004,Beringen,Beringen
3582,71004,Beringen,Beringen
3583,71004,Beringen,Beringen
3590,71011,Diepenbeek,Diepenbeek
3600,71016,Genk,Genk
3620,73042,Lanaken,Lanaken
3621,73042,Lanaken,Lanaken
3630,73107,Maasmechelen,Maasmechelen
3631,73107,Maasmechelen,Maasmechelen
3640,72018,Kinrooi,Kinrooi
3650,72041,Dilsen-Stokkem,Dilsen-Stokkem
3660,72042,Oudsbergen,Oudsbergen
3665,71002,As,As
3668,71002,As,As
3670,72042,Oudsbergen,Oudsbergen
3680,72021,Maaseik,Maaseik
3690,71067,Zutendaal,Zutendaal
3700,73111,Tongeren-Borgloon,Tongeren-Borgloon
3717,73028,Herstappe,Herstappe
3720,71072,Hasselt,Hasselt
3721,71072,Hasselt,Hasselt
3722,71072,Hasselt,Hasselt
3723,71072,Hasselt,Hasselt
3724,71072,Hasselt,Hasselt
3730,73110,Bilzen-Hoeselt,Bilzen-Hoeselt
3732,73110,Bilzen-Hoeselt,Bilzen-Hoeselt
3740,73110,Bilzen-Hoeselt,Bilzen-Hoeselt
3742,73110,Bilzen-Hoeselt,Bilzen-Hoeselt
3746,73110,Bilzen-Hoeselt,Bilzen-Hoeselt
3770,73066,Riemst,Riemst
3790,73109,Fourons,Voeren
3791,73109,Fourons,Voeren
3792,73109,Fourons,Voeren
3793,73109,Fourons,Voeren
3798,73109,Fourons,Voeren
3800,71053,Saint-Trond,Sint-Truiden
3803,71053,Saint-Trond,Sint-Truiden
3806,71053,Saint-Trond,Sint-Truiden
3830,73098,Wellen,Wellen
3831,73098,Wellen,Wellen
3832,73098,Wellen,Wellen
3840,73111,Tongeren-Borgloon,Tongeren-Borgloon
3850,71045,Nieuwerkerken,Nieuwerkerken
3870,73022,Heers,Heers
3890,71017,Gingelom,Gingelom
3891,71017,Gingelom,Gingelom
3900,72043,Pelt,Pelt
3910,72043,Pelt,Pelt
3920,72020,Lommel,Lommel
3930,72037,Hamont-Achel,Hamont-Achel
3940,72038,Hechtel-Eksel,Hechtel-Eksel
3941,72038,Hechtel-Eksel,Hechtel-Eksel
3945,71071,Tessenderlo-Ham,Tessenderlo-Ham
3950,72003,Bocholt,Bocholt
3960,72004,Bree,Bree
3970,71034,Bourg-Léopold,Leopoldsburg
3971,71034,Bourg-Léopold,Leopoldsburg
3980,71071,Tessenderlo-Ham,Tessenderlo-Ham
3990,72030,Peer,Peer
4000,62063,Liège,Luik
4020,62063,Liège,Luik
4030,62063,Liège,Luik
4031,62063,Liège,Luik
4032,62063,Liège,Luik
4040,62051,Herstal,Herstal
4041,62051,Herstal,Herstal
4042,62051,Herstal,Herstal
4050,62022,Chaudfontaine,Chaudfontaine
4051,62022,Chaudfontaine,Chaudfontaine
4052,62022,Chaudfontaine,Chaudfontaine
4053,62022,Chaudfontaine,Chaudfontaine
4100,62096,Seraing,Seraing
4101,62096,Seraing,Seraing
4102,62096,Seraing,Seraing
4120,62121,Neupré,Neupré
4121,62121,Neupré,Neupré
4122,62121,Neupré,Neupré
4130,62032,Esneux,Esneux
4140,62100,Sprimont,Sprimont
4141,62100,Sprimont,Sprimont
