cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version
23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23099,Kraainem,Kraainem,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23104,Lennik,Lennik,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23044,Liedekerke,Liedekerke,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23100,Linkebeek,Linkebeek,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23045,Londerzeel,Londerzeel,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23047,Machelen,Machelen,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23050,Meise,Meise,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23052,Merchtem,Merchtem,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23060,Opwijk,Opwijk,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23062,Overijse,Overijse,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23106,Pajottegem,Pajottegem,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23064,Pepingen,Pepingen,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23101,Rhode-Saint-Genèse,Sint-Genesius-Rode,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23097,Roosdaal,Roosdaal,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23081,Steenokkerzeel,Steenokkerzeel,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23086,Ternat,Ternat,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23088,Vilvorde,Vilvoorde,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23102,Wemmel,Wemmel,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23103,Wezembeek-Oppem,Wezembeek-Oppem,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23094,Zaventem,Zaventem,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
23096,Zemst,Zemst,23000,Arrondissement de Hal-Vilvorde,Arrondissement Halle-Vilvoorde,23,20000,,,,,,2025
24001,Aarschot,Aarschot,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24007,Begijnendijk,Begijnendijk,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24008,Bekkevoort,Bekkevoort,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
